Background,Precentral_L,Precentral_R,Frontal_Sup_L,Frontal_Sup_R,Frontal_Sup_Orb_L,Frontal_Sup_Orb_R,Frontal_Mid_L,Frontal_Mid_R,Frontal_Mid_Orb_L,Frontal_Mid_Orb_R,Frontal_Inf_Oper_L,Frontal_Inf_Oper_R,Frontal_Inf_Tri_L,Frontal_Inf_Tri_R,Frontal_Inf_Orb_L,Frontal_Inf_Orb_R,Rolandic_Oper_L,Rolandic_Oper_R,Supp_Motor_Area_L,Supp_Motor_Area_R,Olfactory_L,Olfactory_R,Frontal_Sup_Medial_L,Frontal_Sup_Medial_R,Frontal_Med_Orb_L,Frontal_Med_Orb_R,Rectus_L,Rectus_R,Insula_L,Insula_R,Cingulum_Ant_L,Cingulum_Ant_R,Cingulum_Mid_L,Cingulum_Mid_R,Cingulum_Post_L,Cingulum_Post_R,Hippocampus_L,Hippocampus_R,ParaHippocampal_L,ParaHippocampal_R,Amygdala_L,Amygdala_R,Calcarine_L,Calcarine_R,Cuneus_L,Cuneus_R,Lingual_L,Lingual_R,Occipital_Sup_L,Occipital_Sup_R,Occipital_Mid_L,Occipital_Mid_R,Occipital_Inf_L,Occipital_Inf_R,Fusiform_L,Fusiform_R,Postcentral_L,Postcentral_R,Parietal_Sup_L,Parietal_Sup_R,Parietal_Inf_L,Parietal_Inf_R,SupraMarginal_L,SupraMarginal_R,Angular_L,Angular_R,Precuneus_L,Precuneus_R,Paracentral_Lobule_L,Paracentral_Lobule_R,Caudate_L,Caudate_R,Putamen_L,Putamen_R,Pallidum_L,Pallidum_R,Thalamus_L,Thalamus_R,Heschl_L,Heschl_R,Temporal_Sup_L,Temporal_Sup_R,Temporal_Pole_Sup_L,Temporal_Pole_Sup_R,Temporal_Mid_L,Temporal_Mid_R,Temporal_Pole_Mid_L,Temporal_Pole_Mid_R,Temporal_Inf_L,Temporal_Inf_R,Cerebelum_Crus1_L,Cerebelum_Crus1_R,Cerebelum_Crus2_L,Cerebelum_Crus2_R,Cerebelum_3_L,Cerebelum_3_R,Cerebelum_4_5_L,Cerebelum_4_5_R,Cerebelum_6_L,Cerebelum_6_R,Cerebelum_7b_L,Cerebelum_7b_R,Cerebelum_8_L,Cerebelum_8_R,Cerebelum_9_L,Cerebelum_9_R,Cerebelum_10_L,Cerebelum_10_R,Vermis_1_2,Vermis_3,Vermis_4_5,Vermis_6,Vermis_7,Vermis_8,Vermis_9
-0.013831826,-0.035662334,-0.121676035,-0.055659153,0.03424627,0.089467876,-0.06667835,-0.0107436795,-0.06906808,0.11465986,0.09616851,0.084695645,0.06832252,-0.001329013,-0.10592925,-0.028633209,0.0359428,-0.00086320814,-0.022443034,-0.022584373,0.080341116,0.12016876,-0.052153382,-0.09193241,-0.040018134,-0.036016013,0.15132086,0.12245554,0.029647484,-0.047188215,-0.025653299,-0.052164663,-0.08220421,-0.061905123,-0.06461198,-0.051782325,0.020122638,0.0929114,-0.048373383,-0.104007244,0.037753973,-0.045130182,0.017146876,-0.024414394,0.050434705,-0.0072505046,-0.006610121,0.028192839,-0.044279616,-0.087841906,-0.058827225,-0.10689781,-0.1339081,-0.09724993,-0.0482892,-0.15263191,-0.046977334,-0.008306878,-0.012194753,0.06457589,0.026715063,0.068134665,0.07597993,0.13885182,-0.006916047,0.04321049,-0.038923178,-0.033460375,-0.089983165,-0.0040186513,-0.08424042,-0.033042464,0.10918256,-0.055582922,0.10913432,0.017021352,0.046513725,0.030343119,-0.062526725,0.082960956,0.03457075,0.107444,0.033888727,0.020766405,0.015688473,0.03166849,-0.056440417,0.013953305,0.041820444,-0.052891016,0.0027801692,-0.081360154,0.014805846,-0.05860434,0.00312365,-0.035342846,0.07799909,0.032024916,0.08897459,-0.074197136,-0.03009898,-0.09291209,-0.008638918,-0.02779222,-0.08604927,0.002793314,-0.045212742,0.06704592,-0.016063338,0.06640392,0.019099154,0.12279977,0.10468431,0.05436761,-0.02495434,0.0012533627
0.71870697,1.1615565,0.090765834,-0.33311778,-0.8446353,-1.0379559,-0.23249294,-0.044008747,-0.43501887,-0.6147301,1.1457931,0.805773,0.46328384,-0.4560607,0.72520846,-0.107172355,1.6861274,1.6120958,0.19351958,0.6965229,0.5361176,-0.78942144,0.057831503,0.48593062,-0.85196954,-1.7917923,-0.6151648,-0.60493046,1.495324,0.34726506,-0.6025757,-0.20560421,-0.27136943,0.11484134,0.11154108,0.2567811,-1.3065974,-0.6364622,0.2241144,0.39538348,0.15055697,0.5119855,0.6608971,1.5472733,0.48677003,1.3176464,0.83909255,0.6232744,0.9978969,1.6661223,0.05744983,0.7164751,-0.29256147,0.3111931,0.17754905,0.7692333,0.5489426,0.3890169,-0.4962189,0.17317916,-0.21993023,0.33995757,0.8883799,0.44918683,0.37104857,-0.05704434,-0.29146776,-0.45133418,-0.04054758,-0.073183574,-1.1118277,-0.9258366,-1.63656,0.83595777,-0.58271205,0.96582115,-0.863179,-0.61684304,-0.2229104,-0.9619758,-0.91959506,-0.111196965,0.039192796,-0.24426232,-0.3315484,-0.49947897,0.97584826,-0.19187623,0.46831,0.4196874,0.068118066,0.54679203,-0.3389883,0.34477425,0.27901608,-0.26329157,0.1485168,-0.32797715,0.0007360237,0.29164082,0.71412885,0.33527246,1.154672,0.81105727,0.13749151,0.1698325,-0.10013185,0.25100377,-0.5803004,0.26427943,0.44376245,-0.7084064,-1.8457724,-0.75091076,0.7160494,-0.19757968
1.2081635,1.0996054,0.062282894,-0.52452046,-0.599046,-0.52147883,-0.75390977,0.034606926,-0.3129069,-0.34592915,-0.045576237,0.56899226,-0.49711472,-0.23969646,-0.05534505,0.67505485,0.7905481,0.30948162,0.59238523,0.91966337,0.20078136,-0.5425618,0.14692415,0.6861788,-0.26223043,-0.9043159,-0.59544015,-0.3413379,0.6957696,0.60271335,0.11356962,0.016977463,0.35912308,0.8468218,0.02181982,0.7686465,-0.83324426,-0.06587119,-0.7388717,-0.5643234,0.27465433,0.91971797,0.3467831,0.41515544,0.07985792,0.9666783,0.17512505,0.091073416,0.36719978,1.0923918,0.11498899,0.8202694,0.4653063,0.54502803,0.56523985,1.4016137,0.712819,0.42838255,-0.2570471,0.2853314,-0.52788645,0.8297354,-0.037545875,-0.21305728,-0.7598435,-0.56950825,-0.40962243,-0.29939583,0.087810904,0.17363803,-0.11378973,0.5031171,-1.5829425,1.1921699,-0.8743394,0.6992492,-1.4484392,-0.14799841,-0.20426016,-1.4613318,-0.42678627,-0.79363734,-0.21602409,0.13131496,-1.0585744,-1.4166107,0.43296707,0.38769245,-0.6492884,0.096004486,0.03427887,-0.47731397,-1.0027316,-0.551789,0.013470331,-0.32093284,-0.69029206,0.04906292,0.24697037,0.6213721,0.5940366,-0.23204812,1.2446119,0.091115825,-0.01200422,-0.7969922,0.14152914,0.040902007,-0.18518743,-1.005958,0.0011753093,-0.061991677,-1.5135661,-0.5159163,-0.28235942,-0.55284834
1.0841948,0.36699024,-0.5794753,-0.28295493,-0.08828939,0.5417833,-0.98576885,0.1789029,-0.10927708,0.42290068,-1.3733479,0.0032552287,-1.0467894,0.5611624,-1.579257,0.9459066,-0.9262042,-1.3254744,0.60143006,0.33582383,-0.5576134,0.24150223,-0.092440374,0.092908286,0.43916953,0.8981884,-0.08237152,0.37521434,-0.87332654,0.49357328,0.82531136,0.15399355,0.7645002,1.0672193,-0.6695643,0.5501648,0.09616655,0.56203645,-1.9275292,-1.8696549,-0.1468461,0.5799958,-0.8977212,-1.3789735,-0.24770613,-0.076243505,-0.604647,-0.82259655,-0.34820634,-0.17267358,-0.13577688,0.24399297,0.9551174,0.2964379,0.8150044,0.75562495,0.5197063,0.5422917,0.24267916,0.4345032,-0.5647915,1.006626,-0.7550776,-0.4646694,-1.9675741,-0.44483,-0.6554797,-0.24165457,0.16776645,0.84393466,1.1904023,1.4290326,-0.652449,0.96732074,-0.2565627,-0.1059433,-0.93627095,0.61076987,-0.38539475,-1.4293972,0.5081249,-1.0150352,-0.8314905,0.47726762,-1.7251245,-1.5625867,-0.7123293,0.65569633,-1.8869445,-0.50849694,-0.06944332,-1.702632,-0.98051834,-1.2956913,-0.44824427,0.06173288,-1.153259,0.7841239,0.5570147,0.51595235,0.2907892,-0.76933074,0.647601,-0.7661154,-0.30163813,-1.3514147,0.34780946,-0.19507153,0.42053944,-1.6284578,-0.7834237,1.2519375,0.25499398,0.13183707,-1.9649311,-0.6880718
0.41281676,0.06667643,-1.4146785,-0.0065925824,-0.31803992,0.35451344,-0.4879906,0.22168761,-0.2764713,0.52896196,-0.6769545,-0.19594127,-0.2122947,0.68451023,-1.8679273,0.06298705,-0.9892288,-0.5874987,-0.28962752,-0.51514745,-0.9830109,0.18087986,-0.692725,-0.93563014,-0.12833436,0.8358994,0.0849764,0.26421,-1.0288466,0.3744906,-0.13144636,-0.5416861,-0.39183432,-0.045443293,-1.7844503,-1.0316453,-0.054889545,-0.1384752,-1.6671704,-1.6157191,-0.7163522,-0.35221994,-1.7907556,-1.0261003,-0.13482642,-0.51201147,-0.42070186,-1.1772741,0.14781097,-0.32733762,-0.4590089,-0.25822884,0.45985985,-0.020823402,0.46834108,-0.89171773,0.32422784,0.8195099,0.21776775,0.6777771,-0.26652077,0.7085755,-0.108289756,0.51485497,-1.7042847,0.26264375,-1.1623461,-0.7961815,0.23892671,1.3173776,0.55577505,-0.51246434,-0.3851579,0.19291307,0.52893656,-0.3877946,0.04687802,0.33890432,-0.62289625,-0.84731025,0.34344536,-0.43128842,-1.3559366,0.089661606,-1.2687298,-0.7664083,-0.7262598,-0.39575273,-1.3809284,-0.38360798,-0.33373505,-1.2885206,-0.01409341,-0.6530514,-0.17817357,0.742047,-0.22448573,0.6947144,0.21706259,-0.113941304,0.57912916,-0.13290967,0.43365604,-0.14581671,-0.25155258,-0.5027457,0.3513807,-0.24970153,0.46472216,-0.29292578,-1.0643135,1.2281386,1.0096856,0.003501286,-2.082762,-0.68020755
-0.31440264,-0.016308809,-1.3078424,-0.517346,-0.43422374,-0.6758054,0.0053111254,-0.1203002,-0.11255319,-0.22015902,0.117571495,-0.6737526,-0.1785684,-0.6216784,-0.5831791,-0.30551603,-0.2580579,0.4500952,-1.3586701,-0.8393559,-1.0755674,-0.7838364,-1.0434779,-1.3727417,-0.8068695,-0.27946123,-0.3420779,-0.742866,-0.48830533,0.65179545,-1.6444814,-1.6008705,-1.9223491,-1.2104862,-2.3550186,-2.5500197,-0.30535138,-1.0108364,-0.33292437,-0.2372334,-0.41350925,-0.623673,-1.5206208,0.10193174,-0.72389376,-0.85882425,-0.48139375,-1.463841,0.5465539,-0.16773243,-0.11608774,-0.05887212,0.28779063,0.12106543,-0.08765454,-1.53803,0.114092976,0.5280246,-0.08504555,0.8272963,0.03396892,0.4535391,-0.2398389,0.9484085,-0.89620847,0.06597024,-1.3470503,-1.1181579,0.32551163,0.7611923,-0.92099947,-2.417647,-0.6510661,-0.7513558,-0.11486643,-0.5716056,-0.19554861,-0.65876853,-0.44177404,0.035730757,-0.3354664,-0.27633825,-0.8713452,-0.34861514,0.32960585,-0.3500308,0.46541867,-1.4692156,-0.13987266,0.1403985,-1.0269899,-0.33869818,0.099183396,-0.111214675,0.46747115,0.6938387,0.42255667,-0.5246966,-0.9711204,-0.905626,0.76862556,0.77851754,0.60111517,0.59238464,0.25067046,0.21463272,0.6374936,-0.4562904,0.4919093,0.22718316,-1.0266742,-0.44853607,-0.2249048,-1.0868883,-0.78734523,-0.82851654
-0.82479995,-0.41844082,-0.2837936,-1.394779,0.45139953,-1.0386672,-0.15739971,-0.97405267,1.0048007,-1.0042698,-0.924083,-1.6932718,-1.7137791,-1.8890134,0.9105552,0.51784,-0.3068622,-0.046551615,-1.4927381,-0.83536273,-1.0673459,-1.2668934,-0.76729137,-1.0366758,-0.11935445,-0.079927176,-0.816477,-1.3516171,-0.71569675,0.7919547,-1.4585788,-1.5323685,-1.5205425,-0.9483647,-1.6699251,-2.1027682,0.29022256,-0.30092755,0.27938044,0.47748068,0.29284045,0.22708663,-0.88141316,-0.39896658,-1.5281092,-1.2857772,-0.9388586,-1.9549212,0.4051472,0.09188859,0.97310454,0.77765614,0.95563906,0.1691041,0.0885678,-0.37266254,-0.35856023,-0.14946371,0.0043441104,0.4624602,0.09370993,0.09333372,-1.7458475,-0.080715984,-0.5844447,-0.5785199,-0.68351996,-0.5802478,0.13819723,-0.45372385,-1.065858,-1.4054048,-0.7612979,-0.86782736,-1.7445997,-1.3470818,-1.2343448,-1.1355819,-0.21786234,0.26321495,-0.14707509,-0.9403996,0.6621408,-0.1451497,1.4586643,-0.2135559,1.8300222,-0.9862394,-0.15592465,-0.0850399,-1.8650397,-0.644173,-1.5949225,-0.9114239,0.1159181,-0.32393736,-0.64111567,-1.255036,-1.92346,-1.4063795,0.011423786,0.5055188,0.34070164,-0.22481412,0.8746769,-0.0110297585,1.179118,-0.7024854,0.8086822,-1.5608497,-0.7691211,-1.6973429,-2.104105,-2.265637,-0.076476574,-0.590866
-1.1626099,-0.6238086,0.022818178,-1.6433715,1.3287446,-0.5308661,-0.6911184,-1.9078001,1.8939308,-1.1122211,-2.0173724,-2.0417855,-2.418089,-1.4916363,1.4374527,1.2308886,-0.42911333,-0.028327795,-0.92875105,-1.0399678,-0.6015839,-0.3449397,-0.5358605,-0.8612611,1.2355283,1.2679677,-0.6824517,-0.75491637,-1.2890124,0.47842872,0.1682039,-0.16177131,0.12077893,-0.056074634,-0.3148749,-0.2617949,0.8369752,1.4104482,-0.15033758,0.59954613,0.40638104,1.0393578,-0.38549587,-1.2836113,-0.537404,-0.6355117,-0.32013643,-1.5220282,0.9492961,1.3302585,1.7802409,1.7684828,1.1719977,-0.21099001,0.7758516,1.0948666,-0.8825896,0.0562021,0.13660827,-0.40284273,-0.3846423,-0.981665,-2.3214645,-0.78070337,-0.28724116,-0.034924965,0.1268474,-0.08969292,-0.29414684,-0.9538246,-0.085899144,0.7346089,-0.48814273,-0.07713255,-1.9046785,-1.9431851,-1.0793157,-0.8056606,-0.18777125,-0.08463341,0.69119316,-1.0272915,1.7419484,0.12893453,1.0952293,0.713195,2.501968,0.14910239,-1.0093645,-0.7160288,-1.848105,-1.3127782,-2.9756477,-1.6510239,-0.66441417,-0.33124188,-1.4427837,0.03058091,-1.3692349,-0.99339455,-0.94891864,-0.5542708,-0.19768137,-1.2023956,1.1294606,-0.13030447,1.0786364,-0.49337745,0.8102588,-2.4302273,0.4072893,-0.83873963,-2.377909,-2.222679,-0.024543507,0.33909655
-1.390469,-0.22756419,-0.9514993,-1.4356123,1.0888597,0.029780382,-1.1856039,-2.3114595,1.3425496,-0.6512815,-1.3337561,-1.4168136,-1.5010016,-0.46205825,0.9606078,1.2264236,0.16482799,1.4279497,-0.58230233,-0.99741244,0.3946586,0.8913762,-0.9581607,-1.107641,1.7873619,1.9570242,-0.019439192,0.2643403,-1.3518457,0.4344604,1.053766,0.8792734,0.29549786,-0.2842392,0.78112274,0.77609456,0.5990533,2.017768,-0.15766294,1.2620367,0.4313189,0.9408097,0.5757199,-0.2895296,1.3749999,0.8657349,0.8450211,0.18056434,1.6266534,2.365352,1.2854264,2.3317401,0.59378636,-0.046007082,0.79439753,1.5495826,-0.99305016,0.92733717,-0.49970764,-1.1524609,-1.4236872,-2.2091403,-1.529245,-0.377433,0.13975513,0.80498743,0.064881735,-0.2734938,-0.44671503,-0.32483694,0.52219844,1.1110395,0.15782695,0.2270182,-0.26963383,-1.3638062,-0.13508226,-0.61784273,0.30564237,0.47208875,1.0828612,0.03816372,1.3787555,0.27812758,0.18564524,1.6755341,2.0779674,0.29505053,-1.0781858,-0.43750665,-0.7607647,-0.51591825,-1.8568071,-0.78146523,-0.16136569,1.4355241,-0.04540399,1.6949333,0.02200866,0.39772132,-0.74591553,-0.626444,-0.113775335,-0.42403388,0.97981614,0.22769226,0.32881728,0.050663788,0.5247971,-0.60872376,1.8333182,0.6591378,-0.6163236,-0.5308763,0.95874906,1.0440583
-1.3067135,0.14367893,-1.1187733,-0.9530927,0.22169076,0.22131507,-1.0968231,-1.9020302,0.3213873,-0.33253515,-0.08164809,-1.2505431,-0.88375914,-0.6119638,0.14651684,0.5758552,0.657692,1.673066,-0.15948088,0.009675326,0.9220181,0.54478073,-1.0477284,-0.6686042,1.3377869,1.4727224,0.261207,0.4240693,-0.90450996,0.4915308,0.6529583,0.9105675,-0.7478438,-1.2559682,1.725469,0.6347379,-0.13746148,0.8293455,0.7156866,1.5917364,0.958329,0.5524882,1.5120649,1.4632995,1.2911428,1.3999724,0.7473388,1.4476527,0.8380571,1.4514421,-0.07867117,2.0107863,0.41596597,1.0279759,0.2580278,1.3896663,-0.609588,0.8259811,-1.413375,-1.35339,-1.9345037,-2.2975526,-1.2846723,-0.46492314,0.1892355,0.30822402,-0.24721105,-0.01947974,-0.1460819,0.4099411,0.45310545,-0.17474115,0.54990023,-0.276093,0.52673495,-0.28445977,-0.28875205,-1.3045565,1.0093799,1.6198155,0.5729621,0.7221273,0.60389346,1.0115287,-0.2358483,1.2117805,0.8847708,-0.074829206,-0.53158253,0.37656525,0.20999713,1.2972267,0.6113604,1.0344915,0.5642063,1.7380521,1.251138,0.8040553,0.37427285,1.4726539,0.47728,0.9299497,0.4043708,0.8824025,1.1254953,0.6127517,0.11592519,0.427663,0.51693976,0.45929903,1.5021255,0.25366098,0.91949815,1.2561861,2.306549,0.91587514
