Background,Precentral_L,Precentral_R,Frontal_Sup_L,Frontal_Sup_R,Frontal_Sup_Orb_L,Frontal_Sup_Orb_R,Frontal_Mid_L,Frontal_Mid_R,Frontal_Mid_Orb_L,Frontal_Mid_Orb_R,Frontal_Inf_Oper_L,Frontal_Inf_Oper_R,Frontal_Inf_Tri_L,Frontal_Inf_Tri_R,Frontal_Inf_Orb_L,Frontal_Inf_Orb_R,Rolandic_Oper_L,Rolandic_Oper_R,Supp_Motor_Area_L,Supp_Motor_Area_R,Olfactory_L,Olfactory_R,Frontal_Sup_Medial_L,Frontal_Sup_Medial_R,Frontal_Med_Orb_L,Frontal_Med_Orb_R,Rectus_L,Rectus_R,Insula_L,Insula_R,Cingulum_Ant_L,Cingulum_Ant_R,Cingulum_Mid_L,Cingulum_Mid_R,Cingulum_Post_L,Cingulum_Post_R,Hippocampus_L,Hippocampus_R,ParaHippocampal_L,ParaHippocampal_R,Amygdala_L,Amygdala_R,Calcarine_L,Calcarine_R,Cuneus_L,Cuneus_R,Lingual_L,Lingual_R,Occipital_Sup_L,Occipital_Sup_R,Occipital_Mid_L,Occipital_Mid_R,Occipital_Inf_L,Occipital_Inf_R,Fusiform_L,Fusiform_R,Postcentral_L,Postcentral_R,Parietal_Sup_L,Parietal_Sup_R,Parietal_Inf_L,Parietal_Inf_R,SupraMarginal_L,SupraMarginal_R,Angular_L,Angular_R,Precuneus_L,Precuneus_R,Paracentral_Lobule_L,Paracentral_Lobule_R,Caudate_L,Caudate_R,Putamen_L,Putamen_R,Pallidum_L,Pallidum_R,Thalamus_L,Thalamus_R,Heschl_L,Heschl_R,Temporal_Sup_L,Temporal_Sup_R,Temporal_Pole_Sup_L,Temporal_Pole_Sup_R,Temporal_Mid_L,Temporal_Mid_R,Temporal_Pole_Mid_L,Temporal_Pole_Mid_R,Temporal_Inf_L,Temporal_Inf_R,Cerebelum_Crus1_L,Cerebelum_Crus1_R,Cerebelum_Crus2_L,Cerebelum_Crus2_R,Cerebelum_3_L,Cerebelum_3_R,Cerebelum_4_5_L,Cerebelum_4_5_R,Cerebelum_6_L,Cerebelum_6_R,Cerebelum_7b_L,Cerebelum_7b_R,Cerebelum_8_L,Cerebelum_8_R,Cerebelum_9_L,Cerebelum_9_R,Cerebelum_10_L,Cerebelum_10_R,Vermis_1_2,Vermis_3,Vermis_4_5,Vermis_6,Vermis_7,Vermis_8,Vermis_9
0.121389166,0.077023305,0.18065253,0.13269415,0.020086043,-0.042339277,0.12131148,0.054254927,0.059320763,0.013244182,0.124995835,0.03920777,0.084667616,0.01009368,0.022524312,-0.0075450405,0.018114028,-0.0386132,0.1042927,0.113882594,-0.044370934,-0.17913884,0.14532138,0.1743017,0.08525812,0.027515285,-0.008750833,-0.098047234,-0.011104954,-0.058415268,0.1407755,0.10568802,0.1348247,0.1280387,0.11127563,0.089077584,0.04237588,-0.00018349155,-0.021224888,-0.07571841,-0.03245795,-0.045324728,0.056626834,0.06869607,0.051421717,0.029798208,0.080212325,0.038988855,0.031791706,0.0797094,0.054244485,0.062426034,-0.0024861586,0.0060648425,0.0011813017,-0.040003724,0.11559909,0.074492395,0.099044345,0.007617106,0.009020911,-0.01047061,0.023229906,-0.019411353,0.135542,0.058055084,0.09568948,0.03506622,0.04607046,0.011214397,0.034713123,-0.0047831507,-0.018037984,-0.060354505,-0.044755835,-0.022315549,0.044083457,0.0431831,-0.044267483,0.014284204,-0.036055624,0.018707937,-0.10711211,-0.043893877,0.051137418,0.041917462,0.03976089,0.019225309,-0.037088342,-0.027012033,0.06696913,0.08102661,0.022505986,0.02502692,0.012682479,-0.08392082,0.036468767,0.018457202,0.022730863,0.048350293,0.031315546,0.017303746,0.029323647,0.05163485,0.054571334,0.083410464,0.041968375,0.05942711,-0.06702354,0.019762691,0.016872782,-0.017007872,-0.008216363,-0.036830924,0.0067953574,0.005871722
-1.7540311,-2.09784,-1.2145174,-1.8770844,0.5043674,1.1194282,-0.49187884,-0.7162974,1.0437208,1.7834146,-2.2660196,-1.5339856,-0.2257301,-0.78204376,1.2017543,0.7797868,-0.24613048,-1.0136802,-0.79476714,-1.8580016,-0.5864899,-0.1633171,-0.54831755,-1.0405161,-0.3976734,-0.38550636,0.79201186,1.2114042,-0.48099938,0.6202315,-1.4756912,-1.679774,-2.597013,-2.3955662,-0.37762892,-1.1673207,1.1402886,1.35306,0.4267737,1.5631118,0.19173397,0.89109164,0.64930445,-0.5071201,0.7305509,0.6163573,-0.3624314,0.094521165,0.4363116,-1.0082462,-0.28835323,-0.24088171,-0.059984576,0.2826725,0.35270447,0.17403175,-2.253585,-2.9256926,-2.0936947,-1.5459548,-0.50658125,-1.669369,-0.64224577,-2.253399,0.8110628,-1.0859942,-1.2756188,-0.7782127,-1.9014908,-0.13868354,-2.3925405,-0.16215704,0.020357262,0.8120774,-1.1211543,0.6037157,-1.0170976,-1.1599844,0.18844698,0.84040356,0.030281743,-0.26223645,1.9669378,1.1478251,1.1726998,0.60896415,1.6168714,1.0374583,1.3755448,1.442396,-0.15538137,0.7480729,0.43630326,1.3894309,-0.42857948,1.0709143,-0.93669367,0.3564867,0.024957418,0.99670225,-0.4174283,0.13506058,-1.3438424,-1.701538,0.13491683,-0.7570763,-0.1214836,-0.083963595,0.9994671,0.07056373,0.22118486,1.877773,0.4830092,1.0496669,0.7602063,-0.9876716
-2.199398,-2.1548557,-0.79914695,-1.660035,0.8592834,0.6211377,-0.1854464,-1.0968658,0.9087732,0.73512286,-1.9133689,-1.5212952,-0.40155533,-0.91616774,0.7276054,0.74852514,-0.6563733,-0.8333519,-0.7291105,-1.2617458,-0.034573257,0.52466434,-0.21767615,-1.0553831,-0.48518333,-0.6557586,0.9277946,0.88557184,-0.59477305,0.78417444,-0.5970703,-1.0629363,-2.2571588,-2.1801593,-0.65451014,-1.4981029,-0.06654324,0.12994227,-0.021604002,1.0579351,0.737169,0.5272206,-0.75918186,-1.259036,-0.69614494,-0.926422,-1.0208604,-0.52788264,-0.5407931,-1.2597855,-1.169786,-1.1583214,-0.6243758,-0.24658774,-0.62472486,-0.39155987,-1.7598095,-2.512871,-2.0348446,-1.4537786,-0.49309474,-1.368173,-0.50505066,-1.7608503,0.031278625,-0.8909274,-1.6213142,-1.6253719,-1.4201726,-0.4579793,-1.4104298,0.54436177,0.40706313,0.7906331,-0.114792,0.37236157,-0.5606327,-1.0175978,0.05607013,0.25237668,-0.04789865,-1.0479903,1.752171,1.1779548,0.49449983,-0.48079064,1.3766887,0.6087174,0.9765127,0.877503,-0.56952906,0.16783322,-0.41868177,0.46475917,-0.048789244,0.9933523,-0.577322,-0.34093234,-0.5609627,0.09664772,-0.30229744,0.018201748,-1.0072587,-1.122947,-0.8959085,-1.3907375,-0.7973487,-0.018970283,0.36555895,-1.0268713,-0.19120899,1.1800388,0.635058,-0.05432638,0.24637923,-0.46861076
-0.9464179,-0.44588152,0.395281,0.2910607,-0.47019833,-0.837023,0.42789304,-0.41267884,-0.20671616,-1.4287884,-0.21156661,-0.3859763,-0.82084215,-0.3738023,-0.8834418,-0.14379236,-1.0164547,-0.3208693,-0.090710044,0.31198844,0.528685,0.8032222,-0.045496855,-0.151904,-0.097013086,0.12091249,0.009267224,-0.14392488,-0.74119353,0.3920206,1.0650029,0.88616395,-0.123739526,0.021073904,-0.3285753,-0.21574876,-1.237133,-1.2137182,0.05958363,0.20907702,1.4794309,-0.14668663,-1.630027,-0.88081133,-1.7169747,-1.9884347,-0.8794999,-0.6845584,-1.0053163,-0.03429639,-1.2486509,-1.0382655,-0.9604185,-0.5066552,-1.0457333,-0.34537604,0.026633767,-0.13485411,0.022166051,-0.022708695,-0.13427028,0.18871924,-0.74378866,0.30657953,-1.0230856,0.2584968,-0.39544746,-0.9984282,0.5344391,-0.54779154,0.74647623,0.7511311,0.6617671,0.23668517,1.2618723,-0.47931337,0.19801988,-0.27685696,-0.9287566,-1.1226871,-0.6896655,-1.3239473,0.104461625,0.7824911,-0.86081105,-1.1431141,0.10427238,-0.07462792,-0.40790632,-0.0009531858,-0.47245073,-0.6197066,-0.9611521,-0.9399983,0.76790047,0.5380766,-0.2604904,-1.4183649,-0.7425762,-0.9619045,-0.078625165,-0.10941647,0.0164946,0.15335257,-1.3462676,-0.89980334,-0.8807257,-0.0831598,-0.6962584,-1.8293539,-1.2459488,-0.47210962,0.610358,-0.86893487,-0.5726639,0.33919954
0.71622974,1.3196288,0.7280832,1.7465881,-2.4591084,-0.9418469,0.55716485,1.2720004,-1.0257202,-1.3998829,0.23492232,0.7353419,-0.9844335,0.67057294,-1.655675,-0.8815256,-0.5518308,-0.24104825,0.51390445,0.9657895,0.013289662,0.073999815,-0.5795496,0.626733,0.26074797,1.4865844,-0.9751525,-0.32591084,-0.73566747,-0.13732128,1.2655523,1.6458733,1.1637671,1.64039,0.46272308,1.6261362,0.12502734,0.016091865,1.4015082,1.0197434,1.6376216,-0.044024877,0.44020256,1.1025777,0.31027672,0.3097186,0.58857876,0.8426789,0.91966575,2.165606,0.7055886,1.4015937,-0.14697538,0.65667135,0.5191207,1.1177953,0.5796082,1.2056634,1.7446901,1.538791,0.17745568,1.1067885,-1.0839942,1.4693487,-0.8836691,1.0747125,1.4040093,1.4563007,1.5222452,0.21973374,1.3101319,0.5041172,0.67105615,0.38809663,1.1632204,-0.25969055,0.41526404,0.6405321,-1.7924337,-1.3132279,-1.0187294,-0.2674834,-0.7462526,0.7763043,-0.60113,0.5431074,-0.2411874,0.01867691,-0.8889174,0.8976335,0.46825445,-0.36884832,0.20339675,-0.63412493,0.9244893,0.8523806,-0.6625972,-0.79530644,0.4815049,0.02536483,0.15261759,0.23324952,0.407417,0.09803489,-0.038463138,0.33211455,0.024232594,-0.635092,-0.6281613,-0.54223764,-1.3015699,-0.4350047,0.9621163,0.87919104,-0.5294084,0.0487174
1.1006718,1.960818,0.5231305,1.5284817,-1.7361087,0.91493154,0.66275555,2.453655,-0.5075957,0.5070915,-0.06742208,1.5694656,0.2126873,1.8084296,-0.8550042,-0.41659597,0.48743728,0.09986393,1.0393926,1.3234749,-0.8893405,-0.16510938,-0.31817454,0.7075537,-0.17185654,1.385025,-0.81305194,-0.10626354,0.12899122,-0.27892342,0.8688338,0.92695206,1.3625035,1.7341664,0.74260753,1.9277811,1.7553056,1.5520538,2.1561751,2.0641108,0.9746346,0.11488404,2.803452,2.7101636,2.8588533,3.2281785,1.9438521,2.805538,2.9928586,3.1797748,3.044371,3.7294965,1.3091526,2.3332782,1.9486042,2.317911,0.43950522,1.3654585,1.7268319,2.5859752,0.5458262,1.0193994,0.35819834,1.5184379,-0.22159208,1.0408639,2.2146907,3.259962,0.9557179,1.2705356,1.2983559,1.3717986,0.883627,1.2295569,0.9421609,1.5800592,1.1759212,2.0144498,-1.0616772,-0.2801195,0.23265755,0.9169547,-0.15775114,0.8942743,1.1477565,2.3328815,0.66636086,0.057168312,-0.065526605,2.2722487,1.2325809,0.4102875,1.5976282,0.3809248,0.08965719,1.1099505,-0.5110592,1.4474671,1.8646345,1.7844111,0.9577006,1.1744579,0.7541029,0.19174057,1.3694835,0.67389226,0.5593442,-0.8338694,-0.37668934,1.3184781,0.63384455,0.6160905,1.5438814,2.4830534,0.009794174,-0.4525301
-0.10962023,0.89621276,0.47890958,0.3395292,0.8328107,2.178992,0.8799106,1.5564134,0.5195807,1.0441052,0.47581238,1.6694463,1.5509796,1.7556667,0.27639085,0.54932576,0.3788045,0.8684598,0.9919118,1.259375,-1.1727502,0.81410915,0.6438166,0.10898362,-1.1660665,-0.33482367,-0.11747174,-0.33040488,1.321559,0.3033469,0.6601916,0.089283824,0.93166226,0.79487616,-0.052561257,0.5448634,0.6922663,0.5778372,1.382817,1.7412707,0.5295862,0.0779405,2.026878,2.0768623,2.1158543,2.3417704,1.5542587,2.7072017,1.9749101,1.4692825,2.7649002,2.4981456,1.7437593,2.5477772,1.341706,1.8788749,0.6481806,1.0866638,0.77001125,2.5158792,0.85219026,0.5698234,2.233505,1.2106042,-0.21911621,0.38469467,1.8251163,2.2878776,-0.13101423,1.0613847,1.0456389,1.6735085,0.89786863,1.284041,1.469577,2.7473326,1.8887491,2.3298225,0.44178993,-0.048675254,1.9119241,0.8615648,1.0465579,1.0918409,1.8588679,1.5218401,1.291016,0.20531237,1.0052204,2.052473,0.7804028,0.7208729,1.3349093,0.53932273,-0.7921331,0.17524312,-0.21306796,1.7681698,1.2933335,1.6077996,1.517194,1.878425,1.1692247,1.5420034,1.2775723,-0.036370255,0.08623218,0.23610832,-0.91619253,0.6761281,2.0960507,0.66693854,1.1452676,1.0674658,0.44143656,-0.19787869
-1.63037,-1.3271767,-0.1507318,-0.6857467,0.91672057,0.751932,-0.08314737,-0.81707066,0.043378446,-0.7124999,0.7476837,0.53025854,0.49394488,-0.004926899,0.6696726,0.34537753,-0.9684977,1.3056328,-0.23490855,-0.25311455,-0.5193727,1.2120372,-0.11870068,-0.8305292,-1.3709869,-1.2913038,0.09521846,-0.04116262,1.6276393,1.5424945,-0.6004049,-0.54868025,-0.4436624,-0.7346551,-1.2567079,-0.84655225,-1.374261,-0.99307257,0.6647756,1.0066192,1.0285804,1.0643468,-0.64414704,-0.11753664,-0.8781476,-1.1194773,-0.28794664,0.29750624,-0.96121746,-1.2603977,-0.27030957,-1.3620142,0.36851957,0.67039245,0.15624617,0.6075307,0.234263,-0.060743842,-0.16445068,0.8654575,0.45927146,-0.01496983,1.5158687,0.6179853,-0.86941093,-0.58023465,0.6860489,-0.34199238,-0.82705027,-0.30356047,-1.0968875,-0.91667575,-0.014086362,0.36946315,0.9027315,1.4976138,0.36162534,0.3333655,0.87759095,-0.6112311,1.9969283,0.45965472,2.0166726,1.5161809,0.2543677,-0.55567795,0.3417571,1.5435491,1.1384137,0.6954324,-0.6704308,0.04968126,-0.35377777,-0.07262806,-0.62835675,-0.7361888,-1.1576462,-1.1651278,-0.85608226,-0.4502127,0.32730612,0.9321048,0.32233575,1.4054897,-0.14667612,-0.82580405,-0.82158893,1.0721447,-0.81965965,-1.7512522,0.61414003,-0.11265814,-0.6140005,-1.3378812,0.4227151,-0.015853088
-2.0318687,-2.344333,-1.7925049,-1.1927388,-1.1423985,-1.0668983,-2.2779915,-1.9783369,-1.6409924,-1.6731917,-0.8287163,-0.45278835,-1.7217425,-1.2018523,0.6394019,-0.4052998,-1.1859145,1.6663867,-1.6097312,-1.4383111,0.7577814,0.17230912,-2.5279925,-1.5700419,-0.48046342,-0.47130114,0.3564736,1.4688104,1.1088419,2.7481523,-2.295014,-1.3096545,-1.7807128,-1.7249463,-2.0493972,-1.6142229,-1.0317352,-0.23764977,0.9052969,0.7803024,1.8176945,2.6560085,-1.8088855,-1.75792,-2.253187,-2.4499245,-1.9129665,-1.8913643,-2.0474005,-2.243,-2.6793883,-3.5453317,-1.1930131,-1.4824914,0.26093397,-0.17046462,-0.93595326,-1.2493386,-1.0822508,-1.1417139,-0.15818301,-0.100915484,-0.46430287,0.45674038,-1.5175992,-1.1655626,-1.0167829,-1.8551083,-0.5841278,-0.8200944,-3.3495815,-3.1187944,-1.0211029,0.14704193,-0.93147355,-0.3614875,-2.1672814,-1.6092867,0.6176832,0.1982683,1.1802877,1.2625476,2.4446383,1.7352273,-1.5170388,-1.0007066,-1.2917097,2.5927675,0.36062714,-0.1961133,-2.0330887,-1.5382303,-1.7370287,-0.81263155,0.37173262,0.2857308,-1.8729342,-3.029873,-1.8698355,-1.816474,-1.3049283,-1.4274535,-1.2333834,-1.3844672,-2.0190713,-1.5339609,-1.9088471,-0.30188334,0.97618735,-1.9811119,-1.8643368,-0.33415008,-1.8911213,-1.6429744,-0.623415,-0.6565212
-1.0737149,-0.68289566,-2.6966033,-1.2168676,-1.1292307,-0.04931516,-3.1720147,-0.62040746,-1.7080251,0.15699491,-2.4575732,0.24616446,-1.398956,0.04820667,0.49938142,0.36539155,0.45650765,2.2443497,-1.3097107,-0.06510561,1.22026,-0.4218215,-3.1030853,-1.6090147,-0.0018447916,0.51674056,0.9029273,2.3345993,0.5628141,2.715442,-1.8181018,-1.4575548,-1.287213,-0.9136208,-2.0714755,-1.9262683,1.238506,1.5623507,1.106401,0.5402865,1.9137483,2.3906605,-0.8742788,-1.6307148,-1.1299762,-0.89861727,-2.072657,-1.7784405,-0.7146213,-1.6143095,-1.9024218,-2.5131752,-0.66731894,-1.4061477,1.1534104,-0.045596868,-0.8728803,-0.67891914,-1.6154172,-1.4956083,0.3032577,0.97388154,-0.51705706,1.3111106,-1.3138552,-0.6518648,-2.1031055,-1.062525,0.5974071,0.16708367,-1.920338,-1.0689586,-0.5813933,0.99322927,-1.2556884,-0.3006337,-1.9069806,-0.9663189,1.0719261,1.8670027,1.1848359,2.4638097,2.3754435,1.5387269,-0.84517825,0.24392182,-1.4211978,1.1681525,0.18232492,-0.13030313,-2.132224,-2.5392215,-1.3038445,-0.8173549,0.7999148,2.1355734,-0.5035768,-0.7285345,-0.5041409,-0.96037567,-0.64088774,-2.4032269,-0.9816262,-2.7803776,-2.8026977,-1.8100966,-2.3851535,-2.2629926,2.3612301,0.433843,-2.0653389,0.22651474,-1.0600864,-0.45658797,-2.1016748,-1.2810721
